id,answers,correct_answer,question,edition,json
001,"[""Abraham Lincoln"",""George Washington"",""Thomas Jefferson"",""Andrew Jackson""]",1,What US President's face appears on the quarter coin?,All,"{""id"":""001"",""question"":""What US President's face appears on the quarter coin?"",""correct_answer"":1,""answers"":[""Abraham Lincoln"",""George Washington"",""Thomas Jefferson"",""Andrew Jackson""],""edition"":""All""}"
002,"[""Florida"",""Texas"",""Utah"",""California""]",3,What US State is nicknamed dquotesThe Golden State?dquotes,All,"{""id"":""002"",""question"":""What US State is nicknamed dquotesThe Golden State?dquotes"",""correct_answer"":3,""answers"":[""Florida"",""Texas"",""Utah"",""California""],""edition"":""All""}"
003,"[""Persephone"",""Artemis"",""Dionysus"",""Demeter""]",3,What is the name of the Greek God/Goddess of the harvest and agriculture?,Global,"{""id"":""003"",""question"":""What is the name of the Greek God/Goddess of the harvest and agriculture?"",""correct_answer"":3,""answers"":[""Persephone"",""Artemis"",""Dionysus"",""Demeter""],""edition"":""Global""}"
004,"[""Ernest"",""Harry"",""Herb"",""Eugene""]",2,"In the television show dquotesThe Simpsons,dquotes what is the name of Homer's half brother?",Global,"{""id"":""004"",""question"":""In the television show dquotesThe Simpsons,dquotes what is the name of Homer's half brother?"",""correct_answer"":2,""answers"":[""Ernest"",""Harry"",""Herb"",""Eugene""],""edition"":""Global""}"
005,"[""F. Scott Fitzgerald"",""Ernest Hemingway"",""T.S. Elliot"",""Gertrude Stein""]",0,Who wrote the classic novel dquotesThis Side of Paradisedquotes in 1920?,Global,"{""id"":""005"",""question"":""Who wrote the classic novel dquotesThis Side of Paradisedquotes in 1920?"",""correct_answer"":0,""answers"":[""F. Scott Fitzgerald"",""Ernest Hemingway"",""T.S. Elliot"",""Gertrude Stein""],""edition"":""Global""}"
006,"[""The Kids Are Alright"",""Teenage Wasteland"",""Hello Wisconsin"",""None, it was always dquotesThat 70s Showdquotes""]",1,Which of these options was the original title for the sitcom dquotesThat 70s Show?dquotes,Global,"{""id"":""006"",""question"":""Which of these options was the original title for the sitcom dquotesThat 70s Show?dquotes"",""correct_answer"":1,""answers"":[""The Kids Are Alright"",""Teenage Wasteland"",""Hello Wisconsin"",""None, it was always dquotesThat 70s Showdquotes""],""edition"":""Global""}"
007,"[""Denmark"",""Hungary"",""Netherlands"",""Austria""]",0,Copenhagen is the capital of what European country?,Global,"{""id"":""007"",""question"":""Copenhagen is the capital of what European country?"",""correct_answer"":0,""answers"":[""Denmark"",""Hungary"",""Netherlands"",""Austria""],""edition"":""Global""}"
008,"[""Hawkins Memorial Mall"",""Heart of Hawkins Mall"",""Starcourt Mall"",""Stardew Mall""]",2,"What is the name of the mall in dquotesStranger Thingsdquotes where Steve, Robin, Dustin, and Erika spend most of season 3?",Global,"{""id"":""008"",""question"":""What is the name of the mall in dquotesStranger Thingsdquotes where Steve, Robin, Dustin, and Erika spend most of season 3?"",""correct_answer"":2,""answers"":[""Hawkins Memorial Mall"",""Heart of Hawkins Mall"",""Starcourt Mall"",""Stardew Mall""],""edition"":""Global""}"
009,"[""1748"",""1767"",""1776"",""1667""]",2,What year was The Declaration of Independence signed?,All,"{""id"":""009"",""question"":""What year was The Declaration of Independence signed?"",""correct_answer"":2,""answers"":[""1748"",""1767"",""1776"",""1667""],""edition"":""All""}"
010,"[""Franklin Delano Roosevelt"",""Abraham Lincoln"",""Theodore Roosevelt"",""George Washington""]",0,Which of these US Presidents are NOT carved on Mount Rushmore?,All,"{""id"":""010"",""question"":""Which of these US Presidents are NOT carved on Mount Rushmore?"",""correct_answer"":0,""answers"":[""Franklin Delano Roosevelt"",""Abraham Lincoln"",""Theodore Roosevelt"",""George Washington""],""edition"":""All""}"
011,"[""Environmental Laws"",""Insider Trading"",""Food Safety Laws"",""Child Labor Laws""]",2,What did Upton Sinclair's book dquotesThe Jungledquotes help create legislation for?,All,"{""id"":""011"",""question"":""What did Upton Sinclair's book dquotesThe Jungledquotes help create legislation for?"",""correct_answer"":2,""answers"":[""Environmental Laws"",""Insider Trading"",""Food Safety Laws"",""Child Labor Laws""],""edition"":""All""}"
012,"[""The Ottoman Empire"",""The Mongol Empire"",""The Roman Empire"",""The British Empire""]",1,What is considered the largest empire in all of history?,Global,"{""id"":""012"",""question"":""What is considered the largest empire in all of history?"",""correct_answer"":1,""answers"":[""The Ottoman Empire"",""The Mongol Empire"",""The Roman Empire"",""The British Empire""],""edition"":""Global""}"
013,"[""2002"",""2009"",""2007"",""2005""]",2,What year was the first iPhone released?,Global,"{""id"":""013"",""question"":""What year was the first iPhone released?"",""correct_answer"":2,""answers"":[""2002"",""2009"",""2007"",""2005""],""edition"":""Global""}"
014,"[""Lamb"",""Pig"",""Sheep"",""Monkey""]",2,Dolly was the name of the first mammal ever cloned. What species of mammal was Dolly?,Global,"{""id"":""014"",""question"":""Dolly was the name of the first mammal ever cloned. What species of mammal was Dolly?"",""correct_answer"":2,""answers"":[""Lamb"",""Pig"",""Sheep"",""Monkey""],""edition"":""Global""}"
015,"[""Flatwoods Monster"",""Fresno Nightcrawler"",""Bigfoot"",""Mothman""]",3,What Cryptid first seen in West Virginia is often called dquotesThe Harbinger of Doom?dquotes,Global,"{""id"":""015"",""question"":""What Cryptid first seen in West Virginia is often called dquotesThe Harbinger of Doom?dquotes"",""correct_answer"":3,""answers"":[""Flatwoods Monster"",""Fresno Nightcrawler"",""Bigfoot"",""Mothman""],""edition"":""Global""}"
