id,answers,correct_answer,question,edition,json,test
001,"[""Abraham Lincoln"",""George Washington"",""Thomas Jefferson"",""Andrew Jackson""]",1,What US President's face appears on the quarter coin?,All,"{""id"":""001"",""question"":""What US President's face appears on the quarter coin?"",""correct_answer"":1,""answers"":[""Abraham Lincoln"",""George Washington"",""Thomas Jefferson"",""Andrew Jackson""],""edition"":""All""}",test
002,"[""Florida"",""Texas"",""Utah"",""California""]",3,What US State is nicknamed dquotesThe Golden State?dquotes,All,"{""id"":""002"",""question"":""What US State is nicknamed dquotesThe Golden State?dquotes"",""correct_answer"":3,""answers"":[""Florida"",""Texas"",""Utah"",""California""],""edition"":""All""}",
003,"[""Persephone"",""Artemis"",""Dionysus"",""Demeter""]",3,What is the name of the Greek God/Goddess of the harvest and agriculture?,Global,"{""id"":""003"",""question"":""What is the name of the Greek God/Goddess of the harvest and agriculture?"",""correct_answer"":3,""answers"":[""Persephone"",""Artemis"",""Dionysus"",""Demeter""],""edition"":""Global""}",
004,"[""Ernest"",""Harry"",""Herb"",""Eugene""]",2,"In the television show dquotesThe Simpsons,dquotes what is the name of Homer's half brother?",Global,"{""id"":""004"",""question"":""In the television show dquotesThe Simpsons,dquotes what is the name of Homer's half brother?"",""correct_answer"":2,""answers"":[""Ernest"",""Harry"",""Herb"",""Eugene""],""edition"":""Global""}",
005,"[""F. Scott Fitzgerald"",""Ernest Hemingway"",""T.S. Elliot"",""Gertrude Stein""]",0,Who wrote the classic novel dquotesThis Side of Paradisedquotes in 1920?,Global,"{""id"":""005"",""question"":""Who wrote the classic novel dquotesThis Side of Paradisedquotes in 1920?"",""correct_answer"":0,""answers"":[""F. Scott Fitzgerald"",""Ernest Hemingway"",""T.S. Elliot"",""Gertrude Stein""],""edition"":""Global""}",
006,"[""The Kids Are Alright"",""Teenage Wasteland"",""Hello Wisconsin"",""None, it was always dquotesThat 70s Showdquotes""]",1,Which of these options was the original title for the sitcom dquotesThat 70s Show?dquotes,Global,"{""id"":""006"",""question"":""Which of these options was the original title for the sitcom dquotesThat 70s Show?dquotes"",""correct_answer"":1,""answers"":[""The Kids Are Alright"",""Teenage Wasteland"",""Hello Wisconsin"",""None, it was always dquotesThat 70s Showdquotes""],""edition"":""Global""}",
007,"[""Denmark"",""Hungary"",""Netherlands"",""Austria""]",0,Copenhagen is the capital of what European country?,Global,"{""id"":""007"",""question"":""Copenhagen is the capital of what European country?"",""correct_answer"":0,""answers"":[""Denmark"",""Hungary"",""Netherlands"",""Austria""],""edition"":""Global""}",
008,"[""Hawkins Memorial Mall"",""Heart of Hawkins Mall"",""Starcourt Mall"",""Stardew Mall""]",2,"What is the name of the mall in dquotesStranger Thingsdquotes where Steve, Robin, Dustin, and Erika spend most of season 3?",Global,"{""id"":""008"",""question"":""What is the name of the mall in dquotesStranger Thingsdquotes where Steve, Robin, Dustin, and Erika spend most of season 3?"",""correct_answer"":2,""answers"":[""Hawkins Memorial Mall"",""Heart of Hawkins Mall"",""Starcourt Mall"",""Stardew Mall""],""edition"":""Global""}",
009,"[""1748"",""1767"",""1776"",""1667""]",2,What year was The Declaration if Independence signed?,All,"{""id"":""009"",""question"":""What year was The Declaration if Independence signed?"",""correct_answer"":2,""answers"":[""1748"",""1767"",""1776"",""1667""],""edition"":""All""}",
010,"[""Franklin Delano Roosevelt"",""Abraham Lincoln"",""Theodore Roosevelt"",""George Washington""]",0,Which of these US Presidents are NOT carved on Mount Rushmore?,All,"{""id"":""010"",""question"":""Which of these US Presidents are NOT carved on Mount Rushmore?"",""correct_answer"":0,""answers"":[""Franklin Delano Roosevelt"",""Abraham Lincoln"",""Theodore Roosevelt"",""George Washington""],""edition"":""All""}",
